DATE IN UTC (yyyy-MM-dd),METRIC,COUNT,BUTTON TEXT
2025-06-10,Messages sent,0,
2025-06-10,Messages delivered,0,
2025-06-10,Messages read,0,
2025-06-09,Messages sent,0,
2025-06-09,Messages delivered,0,
2025-06-09,Messages read,0,
2025-06-08,Messages sent,0,
2025-06-08,Messages delivered,0,
2025-06-08,Messages read,0,
2025-06-07,Messages sent,0,
2025-06-07,Messages delivered,0,
2025-06-07,Messages read,0,
2025-06-06,Messages sent,0,
2025-06-06,Messages delivered,0,
2025-06-06,Messages read,0,
2025-06-05,Messages sent,0,
2025-06-05,Messages delivered,0,
2025-06-05,Messages read,0,
2025-06-04,Messages sent,0,
2025-06-04,Messages delivered,0,
2025-06-04,Messages read,0,
2025-06-03,Messages sent,0,
2025-06-03,Messages delivered,0,
2025-06-03,Messages read,0,
2025-06-02,Messages sent,0,
2025-06-02,Messages delivered,0,
2025-06-02,Messages read,0,
2025-06-01,Messages sent,0,
2025-06-01,Messages delivered,0,
2025-06-01,Messages read,0,
2025-05-31,Messages sent,0,
2025-05-31,Messages delivered,0,
2025-05-31,Messages read,0,
2025-05-30,Messages sent,0,
2025-05-30,Messages delivered,0,
2025-05-30,Messages read,0,
2025-05-29,Messages sent,0,
2025-05-29,Messages delivered,0,
2025-05-29,Messages read,0,
2025-05-28,Messages sent,0,
2025-05-28,Messages delivered,0,
2025-05-28,Messages read,0,
2025-05-27,Messages sent,0,
2025-05-27,Messages delivered,0,
2025-05-27,Messages read,0,
2025-05-26,Messages sent,0,
2025-05-26,Messages delivered,0,
2025-05-26,Messages read,0,
2025-05-25,Messages sent,0,
2025-05-25,Messages delivered,0,
2025-05-25,Messages read,0,
2025-05-24,Messages sent,0,
2025-05-24,Messages delivered,0,
2025-05-24,Messages read,0,
2025-05-23,Messages sent,0,
2025-05-23,Messages delivered,0,
2025-05-23,Messages read,0,
2025-05-22,Messages sent,0,
2025-05-22,Messages delivered,0,
2025-05-22,Messages read,0,
2025-05-21,Messages sent,0,
2025-05-21,Messages delivered,0,
2025-05-21,Messages read,0,
2025-05-20,Messages sent,0,
2025-05-20,Messages delivered,0,
2025-05-20,Messages read,0,
2025-05-19,Messages sent,0,
2025-05-19,Messages delivered,0,
2025-05-19,Messages read,0,
2025-05-18,Messages sent,0,
2025-05-18,Messages delivered,0,
2025-05-18,Messages read,0,
2025-05-17,Messages sent,0,
2025-05-17,Messages delivered,0,
2025-05-17,Messages read,0,
2025-05-16,Messages sent,0,
2025-05-16,Messages delivered,0,
2025-05-16,Messages read,0,
2025-05-15,Messages sent,0,
2025-05-15,Messages delivered,0,
2025-05-15,Messages read,0,
2025-05-14,Messages sent,0,
2025-05-14,Messages delivered,0,
2025-05-14,Messages read,0,
2025-05-13,Messages sent,0,
2025-05-13,Messages delivered,0,
2025-05-13,Messages read,0,
2025-05-12,Messages sent,0,
2025-05-12,Messages delivered,0,
2025-05-12,Messages read,0,
